source,artifact_type,snapshot_filename,document_id,metadata_filename
prwp,figure,document_10240515_figure_000.png,document_10240515,document_10240515.json
prwp,figure,document_10395051_figure_006.png,document_10395051,document_10395051.json
prwp,figure,document_10395051_figure_007.png,document_10395051,document_10395051.json
prwp,figure,document_10455617_figure_000.png,document_10455617,document_10455617.json
prwp,figure,document_11174028_figure_004.png,document_11174028,document_11174028.json
prwp,figure,document_11174028_figure_006.png,document_11174028,document_11174028.json
prwp,figure,document_11225119_figure_000.png,document_11225119,document_11225119.json
prwp,figure,document_11777361_figure_004.png,document_11777361,document_11777361.json
prwp,figure,document_11777361_figure_006.png,document_11777361,document_11777361.json
prwp,figure,document_11867889_figure_001.png,document_11867889,document_11867889.json
prwp,figure,document_11867889_figure_004.png,document_11867889,document_11867889.json
prwp,figure,document_11867889_figure_008.png,document_11867889,document_11867889.json
prwp,figure,document_11867889_figure_016.png,document_11867889,document_11867889.json
prwp,figure,document_11958451_figure_003.png,document_11958451,document_11958451.json
prwp,figure,document_11958451_figure_004.png,document_11958451,document_11958451.json
prwp,figure,document_11958451_figure_013.png,document_11958451,document_11958451.json
prwp,figure,document_12916918_figure_014.png,document_12916918,document_12916918.json
prwp,figure,document_13148967_figure_013.png,document_13148967,document_13148967.json
prwp,figure,document_13840629_figure_004.png,document_13840629,document_13840629.json
prwp,figure,document_14861148_figure_018.png,document_14861148,document_14861148.json
prwp,figure,document_15151160_figure_004.png,document_15151160,document_15151160.json
prwp,figure,document_15347644_figure_000.png,document_15347644,document_15347644.json
prwp,figure,document_15348558_figure_006.png,document_15348558,document_15348558.json
prwp,figure,document_1689472_figure_007.png,document_1689472,document_1689472.json
prwp,figure,document_437731_figure_000.png,document_437731,document_437731.json
prwp,figure,document_437802_figure_002.png,document_437802,document_437802.json
prwp,figure,document_439628_figure_001.png,document_439628,document_439628.json
prwp,figure,document_439628_figure_003.png,document_439628,document_439628.json
prwp,figure,document_439628_figure_004.png,document_439628,document_439628.json
prwp,figure,document_439628_figure_007.png,document_439628,document_439628.json
prwp,figure,document_6731296_figure_001.png,document_6731296,document_6731296.json
prwp,figure,document_6731296_figure_011.png,document_6731296,document_6731296.json
prwp,figure,document_7581269_figure_002.png,document_7581269,document_7581269.json
prwp,figure,document_8772744_figure_009.png,document_8772744,document_8772744.json
prwp,figure,document_8772744_figure_010.png,document_8772744,document_8772744.json
prwp,table,document_10087951_table_006.png,document_10087951,document_10087951.json
prwp,table,document_10455617_table_003.png,document_10455617,document_10455617.json
prwp,table,document_11017288_table_005.png,document_11017288,document_11017288.json
prwp,table,document_11017288_table_007.png,document_11017288,document_11017288.json
