source,artifact_type,snapshot_filename,document_id,metadata_filename
prwp,table,document_10002285_table_002.png,document_10002285,document_10002285.json
prwp,table,document_10069312_table_002.png,document_10069312,document_10069312.json
prwp,table,document_10087951_table_005.png,document_10087951,document_10087951.json
prwp,figure,document_10395051_figure_002.png,document_10395051,document_10395051.json
prwp,table,document_10395051_table_002.png,document_10395051,document_10395051.json
prwp,figure,document_10455617_figure_003.png,document_10455617,document_10455617.json
prwp,figure,document_10973627_figure_001.png,document_10973627,document_10973627.json
prwp,figure,document_11017288_figure_001.png,document_11017288,document_11017288.json
prwp,figure,document_11174028_figure_007.png,document_11174028,document_11174028.json
prwp,figure,document_11225119_figure_001.png,document_11225119,document_11225119.json
prwp,table,document_11308693_table_006.png,document_11308693,document_11308693.json
prwp,table,document_11332543_table_015.png,document_11332543,document_11332543.json
prwp,figure,document_11777361_figure_010.png,document_11777361,document_11777361.json
prwp,figure,document_11958451_figure_009.png,document_11958451,document_11958451.json
prwp,table,document_12736370_table_002.png,document_12736370,document_12736370.json
prwp,table,document_12736370_table_006.png,document_12736370,document_12736370.json
prwp,figure,document_12916918_figure_001.png,document_12916918,document_12916918.json
prwp,figure,document_12916918_figure_002.png,document_12916918,document_12916918.json
prwp,figure,document_12916918_figure_003.png,document_12916918,document_12916918.json
prwp,figure,document_12916918_figure_005.png,document_12916918,document_12916918.json
prwp,figure,document_12916918_figure_007.png,document_12916918,document_12916918.json
prwp,figure,document_12916918_figure_012.png,document_12916918,document_12916918.json
prwp,figure,document_13148967_figure_003.png,document_13148967,document_13148967.json
prwp,table,document_13148967_table_003.png,document_13148967,document_13148967.json
prwp,table,document_13148967_table_005.png,document_13148967,document_13148967.json
prwp,figure,document_13840629_figure_000.png,document_13840629,document_13840629.json
prwp,figure,document_13840629_figure_008.png,document_13840629,document_13840629.json
prwp,figure,document_13844807_figure_001.png,document_13844807,document_13844807.json
prwp,table,document_13844807_table_001.png,document_13844807,document_13844807.json
prwp,figure,document_15151160_figure_001.png,document_15151160,document_15151160.json
prwp,figure,document_15151160_figure_002.png,document_15151160,document_15151160.json
prwp,table,document_15151160_table_000.png,document_15151160,document_15151160.json
prwp,figure,document_15348558_figure_003.png,document_15348558,document_15348558.json
prwp,figure,document_17452144_figure_005.png,document_17452144,document_17452144.json
prwp,figure,document_2160788_figure_002.png,document_2160788,document_2160788.json
prwp,table,document_2874487_table_004.png,document_2874487,document_2874487.json
prwp,figure,document_437802_figure_003.png,document_437802,document_437802.json
prwp,table,document_443630_table_005.png,document_443630,document_443630.json
prwp,table,document_443630_table_022.png,document_443630,document_443630.json
prwp,table,document_443630_table_025.png,document_443630,document_443630.json
prwp,table,document_4991720_table_009.png,document_4991720,document_4991720.json
prwp,figure,document_6213782_figure_004.png,document_6213782,document_6213782.json
prwp,table,document_6213782_table_001.png,document_6213782,document_6213782.json
prwp,table,document_6284707_table_004.png,document_6284707,document_6284707.json
prwp,table,document_6666871_table_001.png,document_6666871,document_6666871.json
prwp,figure,document_6731296_figure_004.png,document_6731296,document_6731296.json
prwp,figure,document_6731296_figure_007.png,document_6731296,document_6731296.json
prwp,figure,document_6731296_figure_014.png,document_6731296,document_6731296.json
